Period,15-34 M,15-34 F,35-49 M,35-49 F,50-74 M,50-74 F,Global_Rate
2004-Q1  ,11.720628,17.198032,4.283283,8.776062,4.004764,5.376203,8.738482
2004-Q2  ,11.410664,16.187372,3.654493,7.196378,3.636536,4.515018,7.931202
2004-Q3  ,10.04151,15.682014,3.520125,6.945425,3.394804,3.976243,7.386617
2004-Q4  ,11.918557,17.227696,4.020448,7.582207,3.604743,3.583677,8.235854
2005-Q1  ,12.334781,16.852636,4.316241,7.577546,3.440298,4.204936,8.324636
2005-Q2  ,11.139375,15.304531,3.759384,7.281664,3.319738,3.921081,7.578366
2005-Q3  ,10.458562,15.599317,3.337118,6.722562,2.95083,3.760971,7.171252
2005-Q4  ,11.906162,17.14555,3.852846,7.974862,3.112802,4.004856,8.116639
2006-Q1  ,11.50659,15.872178,3.7435,7.343811,2.887852,4.186053,7.667347
2006-Q2  ,9.911513,13.908646,3.150159,6.471359,2.714661,3.398738,6.599696
2006-Q3  ,9.107966,13.284891,3.141283,5.820737,2.435817,3.134301,6.143872
2006-Q4  ,10.82894,14.647878,3.455123,6.694825,2.756543,3.289316,6.969524
2007-Q1  ,10.158057,13.509486,3.341859,6.301963,2.66747,2.278277,6.423552
2007-Q2  ,8.796913,12.314209,2.980828,5.798977,2.124113,2.755974,5.761032
2007-Q3  ,8.60955,12.610898,2.881854,5.598313,2.121859,2.966267,5.706748
2007-Q4  ,10.322409,14.328998,3.443102,6.846162,2.137013,2.750539,6.641454
2008-Q1  ,10.61696,14.225422,3.939818,7.324191,2.855739,3.898419,7.093753
2008-Q2  ,9.716102,13.888857,3.840665,7.221426,3.055069,3.49467,6.797956
2008-Q3  ,9.217052,12.923038,3.236145,6.243884,2.612229,3.349189,6.123374
2008-Q4  ,11.119264,14.329738,4.141931,6.884214,3.4521,2.980915,7.09721
2009-Q1  ,12.603874,16.048458,4.89259,7.46325,3.716761,3.927694,7.994665
2009-Q2  ,11.569951,15.672318,4.797703,6.446972,3.351942,3.81681,7.431044
2009-Q3  ,12.014367,14.41664,4.63865,7.263185,3.579393,2.948884,7.395319
2009-Q4  ,14.277874,17.721368,5.321306,7.93912,3.96358,4.063211,8.681759
2010-Q1  ,15.64324,18.505132,5.742017,8.248507,4.170795,4.240227,9.194845
2010-Q2  ,14.582596,16.932498,5.556665,7.574175,3.818705,3.453437,8.459772
2010-Q3  ,12.924679,15.885561,4.959074,6.784448,3.875916,3.224804,7.672172
2010-Q4  ,15.186333,18.219232,5.506649,7.385468,4.193454,4.264942,8.784101
2011-Q1  ,14.948687,17.479646,5.798971,7.618647,4.587014,3.829992,8.727984
2011-Q2  ,12.973029,17.084486,5.250035,6.702684,4.046767,3.657918,7.879711
2011-Q3  ,13.252217,16.609753,4.923531,7.161677,3.573248,3.540388,7.7632
2011-Q4  ,16.571493,19.692591,6.303074,8.703117,5.479448,4.192311,9.738198
2012-Q1  ,18.707827,22.012417,7.49639,9.915785,6.043414,4.853462,11.069567
2012-Q2  ,18.719547,20.201396,7.247701,9.351813,5.979573,5.700665,10.691882
2012-Q3  ,17.532999,19.915017,6.226413,9.039758,5.385509,5.102477,9.944428
2012-Q4  ,20.89115,23.381625,7.741426,10.663197,6.582555,5.538237,11.832695
2013-Q1  ,22.334861,24.945964,9.173919,11.586168,7.483073,6.270905,12.985161
2013-Q2  ,22.409552,22.754405,8.906138,10.999077,6.524245,5.762223,12.233927
2013-Q3  ,21.431064,22.840458,7.89516,9.926303,6.188267,5.143606,11.43297
2013-Q4  ,23.085242,27.184138,8.657289,10.915834,7.612067,5.059921,12.829546
2014-Q1  ,25.4852,26.863749,9.79918,11.807085,7.549748,6.420582,13.731145
2014-Q2  ,22.728381,24.38221,8.988787,11.293432,6.215694,5.998461,12.370249
2014-Q3  ,22.148293,24.193964,8.210898,11.090144,6.023187,5.143136,11.884023
2014-Q4  ,23.698475,27.42896,9.396503,12.473634,7.05631,6.280388,13.40281
2015-Q1  ,24.550525,26.584121,9.605274,11.069557,7.035801,6.294119,13.108313
2015-Q2  ,22.788603,25.404357,9.196382,10.219652,6.625146,5.793034,12.227452
2015-Q3  ,19.183311,21.929019,7.576635,9.724377,6.298014,4.890283,10.654056
2015-Q4  ,21.821976,24.786101,8.588136,10.839024,6.82354,5.302194,12.020318
2016-Q1  ,22.455691,24.777365,9.034619,10.795426,6.67819,5.956179,12.17252
2016-Q2  ,20.285863,22.977082,8.363321,11.451395,6.446224,6.220363,11.604882
2016-Q3  ,19.865716,23.484677,7.865761,9.888448,5.941165,5.381435,10.983834
2016-Q4  ,22.230364,25.781055,8.473982,11.719885,6.691621,5.582992,12.229412
2017-Q1  ,21.101154,24.734184,8.67691,11.766636,7.377924,6.332105,12.18783
2017-Q2  ,19.284283,22.80219,8.075163,10.391349,6.10467,5.887375,10.986115
2017-Q3  ,18.503327,21.796939,7.35232,9.903378,6.135638,6.517231,10.598069
2017-Q4  ,20.254841,22.886928,8.076188,10.997781,6.114695,5.997644,11.234152
2018-Q1  ,19.409527,23.141877,8.653582,11.879796,6.774412,6.128103,11.560942
2018-Q2  ,17.90805,21.321705,7.759217,10.43568,6.683032,6.283515,10.671243
2018-Q3  ,16.802144,19.343542,6.191831,9.120602,5.538136,5.299045,9.298614
2018-Q4  ,19.322895,22.132355,7.396393,10.673055,6.327076,6.189145,10.800083
2019-Q1  ,19.163606,21.713279,8.111591,11.250865,6.697788,6.034775,11.060854
2019-Q2  ,17.128382,19.347371,7.161324,9.818228,5.738406,5.356958,9.718821
2019-Q3  ,15.44548,17.812497,6.944903,9.53655,4.985879,5.456348,9.070237
2019-Q4  ,16.478352,20.182258,6.859144,10.585956,5.578667,6.259371,9.886161
2020-Q1  ,16.769482,19.401059,6.52617,9.827263,5.472837,5.623073,9.479269
2020-Q2  ,14.14118,17.134478,6.072618,7.539736,4.320641,4.640186,7.842986
2020-Q3  ,18.05027,21.663984,7.30598,10.466497,5.598251,6.20752,10.255432
2020-Q4  ,18.349007,19.235845,6.935452,9.817016,5.438291,5.98592,9.760533
2021-Q1  ,19.935841,21.739022,7.749008,10.255834,5.864179,6.490157,10.648852
2021-Q2  ,16.741317,19.850006,6.488159,9.570683,5.62599,6.410548,9.600253
2021-Q3  ,14.000969,19.092665,5.844788,9.116959,5.36155,6.051264,8.839813
2021-Q4  ,16.403172,17.050721,6.546625,8.992818,5.341751,5.878319,9.073822
2022-Q1  ,14.586551,17.490739,6.499325,8.704104,5.141325,5.958286,8.750451
2022-Q2  ,12.252724,16.017353,5.818153,8.934103,4.625527,5.309488,7.963626
2022-Q3  ,12.081452,16.108163,4.98506,8.657546,4.509764,5.433877,7.712102
2022-Q4  ,12.926681,16.138227,5.70591,7.777232,4.737348,5.754637,7.948212
2023-Q1  ,13.591319,15.522429,6.153434,8.837224,4.857514,5.999298,8.300061
2023-Q2  ,12.160447,13.588137,5.4859,8.040538,4.544968,5.573097,7.478281
2023-Q3  ,11.735291,14.482678,5.226658,8.728392,3.834477,4.892185,7.277107
2023-Q4  ,12.463177,14.794626,5.570218,8.173678,4.135628,5.213132,7.549762
2024-Q1  ,12.365911,14.369536,5.682832,8.537508,4.504719,5.837779,7.728341
2024-Q2  ,10.868221,13.0008,4.814713,7.091986,4.057952,4.814553,6.676092
2024-Q3  ,10.391842,10.590439,4.218075,5.802678,3.030988,3.656154,5.602594
2024-Q4,10.925559,12.40033,4.410602,6.221986,3.202396,4.001726,6.052437
2025-Q1,11.640231,13.868486,4.948448,7.037018,4.070563,4.589607,6.820864
